LOC_CODE;LOCATION_TYPE;LOCATION_NAME;DIS_CODE;DISTRICT;REG_CODE;REGION
L03448;д.;Пудоть;D019;Витебский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L10698;д.;Пужичи;D030;Гродненский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L21764;п.;Пузан;D014;Быховский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L20121;д;Пузаны;D034;Докшицкий;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L13732;д.;Пузели;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L00196;д.;Пузи;D004;Березовский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L12555;д.;Пузики;D043;Зельвенский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L16153;д.;Пузичи;D108;Солигорский;R06;МИНСКАЯ ОБЛАСТЬ
L03138;д.;Пузовичи;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L02791;д.;Пузово;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L19470;д.;Пузыновцы;D125;Щучинский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L05403;д.;Пузырево;D087;Оршанский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L02580;д.;Пузыри;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L18866;х.;Пуйтово;D017;Вилейский;R06;МИНСКАЯ ОБЛАСТЬ
L06441;д.;Пукановка-1;D093;Полоцкий;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L06442;д.;Пукановка-2;D093;Полоцкий;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L18723;д.;Пукелевщина;D083;Несвижский;R06;МИНСКАЯ ОБЛАСТЬ
L27065;х.;Пуки;D122;Шарковщинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L17272;п.;Пуково;D054;Копыльский;R06;МИНСКАЯ ОБЛАСТЬ
L07700;д.;Пуколово;D112;Толочинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L03016;д.;Пукшино;D019;Витебский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L10081;д.;Пундишки;D030;Гродненский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L26994;д.;Пуни;D021;Воложинский;R06;МИНСКАЯ ОБЛАСТЬ
L03449;д.;Пунище;D019;Витебский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L12819;д.;Пунищи;D046;Ивьевский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L20404;д.;Пунты;D063;Лепельский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L03935;х.;Пуньки;D024;Глубокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L22711;д.;Пуплы;D028;Горецкий;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L07168;д.;Пурплево;D102;Сенненский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L10803;д.;Пурсти;D064;Лидский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L04515;д.;Пурышки;D029;Городокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L12679;д.;Пустая Гряда;D067;Лоевский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L04513;д.;Пустельники;D029;Городокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L12220;д.;Пустоборы;D043;Зельвенский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L22459;д.;Пустой Осовец;D076;Могилевский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L02581;д.;Пустоселье;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L06414;д.;Пустоши;D093;Полоцкий;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L02582;д.;Пустошка;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L07216;д.;Пустынки;D102;Сенненский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L07312;д.;Пуськи;D112;Толочинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L13387;д.;Пусявары;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L09454;п.;Путеводная Звезда;D027;Гомельский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L07405;д.;Путилковичи;D114;Ушачский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L18630;д.;Путилово;D066;Логойский;R06;МИНСКАЯ ОБЛАСТЬ
L23982;д.;Путимель;D051;Климовичский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L05888;д.;Путиново;D074;Миорский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L00994;д.;Путища;D040;Жабинковский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L15347;д.;Путники;D073;Минский;R06;МИНСКАЯ ОБЛАСТЬ
L10649;д.;Путно;D030;Гродненский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L07898;д.;Путреница;D122;Шарковщинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L18184;д.;Путричи;D017;Вилейский;R06;МИНСКАЯ ОБЛАСТЬ
L11012;аг.;Путришки;D030;Гродненский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L15962;д.;Путчино;D032;Дзержинский;R06;МИНСКАЯ ОБЛАСТЬ
L20959;д.;Путьки;D117;Чаусский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L06214;д.;Путьково;D094;Поставский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L06860;д.;Путятешки;D094;Поставский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L04743;д.;Путятино;D037;Дубровенский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L23459;д.;Путяты;D080;Мстиславский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L15997;д.;Пухляки;D073;Минский;R06;МИНСКАЯ ОБЛАСТЬ
L20927;д.;Пухнова;D117;Чаусский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L00959;д.;Пуховая;D036;Дрогичинский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L03450;д.;Пуховичи;D019;Витебский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L07060;д.;Пуховка;D094;Поставский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L23545;д.;Пуховщина;D113;Узденский;R06;МИНСКАЯ ОБЛАСТЬ
L12316;д.;Пуцевичи;D084;Новогрудский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L10881;д.;Пуцки;D101;Свислочский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L27302;д.;Пучин;D009;Брагинский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L02066;д.;Пучины;D092;Пинский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L02583;д.;Пучкинишки;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
