TYPE_CODE;TYPE;SUBCAT_CODE;SUBCATEGORY;CAT_CODE;CATEGORY
T478;Костюмы;SC025;Одежда для девочек;C02;Детская одежда
T479;Кофточки;SC025;Одежда для девочек;C02;Детская одежда
T480;Пуловеры;SC025;Одежда для девочек;C02;Детская одежда
T481;Рубашки;SC025;Одежда для девочек;C02;Детская одежда
T482;Свитшоты;SC025;Одежда для девочек;C02;Детская одежда
T483;Кеды;SC088;Обувь для девочек;C02;Детская одежда
T484;Джемперы;SC026;Одежда для мальчиков;C02;Детская одежда
T485;Пиджаки;SC026;Одежда для мальчиков;C02;Детская одежда
T486;Рубашки;SC026;Одежда для мальчиков;C02;Детская одежда
T487;Толстовки;SC026;Одежда для мальчиков;C02;Детская одежда
T488;Футболки-поло;SC026;Одежда для мальчиков;C02;Детская одежда
T489;Слиперы;SC063;Обувь для мальчиков;C02;Детская одежда
T490;Кофточки;SC027;Спортивное для детей;C02;Детская одежда
T491;Толстовки;SC027;Спортивное для детей;C02;Детская одежда
T492;Топы-бра;SC106;Футболки и топы;C03;Женская одежда
T493;Леггинсы;SC028;Брюки и шорты;C03;Женская одежда
T494;Блузки-боди;SC001;Блузки и рубашки;C03;Женская одежда
T495;Лонгсливы;SC076;Лонгсливы;C03;Женская одежда
T496;Полупальто;SC108;Верхняя одежда;C03;Женская одежда
T497;Ультралегкие пуховики;SC108;Верхняя одежда;C03;Женская одежда
T498;Тренчкоты;SC108;Верхняя одежда;C03;Женская одежда
T499;Бриджи;SC041;Одежда для дома;C03;Женская одежда
T500;Джемперы;SC041;Одежда для дома;C03;Женская одежда
T501;Кофты;SC041;Одежда для дома;C03;Женская одежда
T502;Платья;SC041;Одежда для дома;C03;Женская одежда
T503;Халаты банные;SC041;Одежда для дома;C03;Женская одежда
T504;Костюмы повседневные;SC064;Костюмы;C03;Женская одежда
T505;Костюмные;SC029;Жилеты;C03;Женская одежда
T506;Сандалии;SC017;Сандалии;C01;Женская обувь
T507;На танкетке;SC066;Полусапожки;C01;Женская обувь
T508;Низкие;SC034;Ботинки;C01;Женская обувь
T509;На шнуровке;SC034;Ботинки;C01;Женская обувь
T510;Казаки;SC034;Ботинки;C01;Женская обувь
T511;Ботильоны;SC045;Ботильоны;C01;Женская обувь
T512;Галоши;SC004;Галоши;C01;Женская обувь
T513;Стринги;SC069;Трусы;C06;Женское белье и купальники
T514;Бразильяна;SC069;Трусы;C06;Женское белье и купальники
T515;Бюстгальтеры;SC112;Бюстгальтеры;C06;Женское белье и купальники
T516;Бикини;SC047;Пляжная мода;C06;Женское белье и купальники
T517;Плавки;SC047;Пляжная мода;C06;Женское белье и купальники
T518;Майки;SC048;Майки;C06;Женское белье и купальники
T519;Неглиже эротик;SC070;Эротик;C06;Женское белье и купальники
T520;Шорты эротик;SC070;Эротик;C06;Женское белье и купальники
T521;Боди;SC049;Корректирующее белье;C06;Женское белье и купальники
T522;Корсеты;SC051;Боди и корсеты;C06;Женское белье и купальники
T523;Комплекты белья;SC019;Комплекты белья;C06;Женское белье и купальники
T524;Термоколготки;SC094;Термобелье;C06;Женское белье и купальники
T525;Термотрусы;SC094;Термобелье;C06;Женское белье и купальники
T526;Нижние юбки;SC021;Нижние юбки;C06;Женское белье и купальники
T527;Бермуды;SC095;Брюки и шорты;C04;Мужская одежда
T528;Тайтсы;SC095;Брюки и шорты;C04;Мужская одежда
T529;Тренчкоты;SC114;Верхняя одежда;C04;Мужская одежда
T530;Утепленные пальто;SC114;Верхняя одежда;C04;Мужская одежда
T531;Кардиганы;SC072;Джемперы и кардиганы;C04;Мужская одежда
T532;Худи;SC097;Худи;C04;Мужская одежда
T533;Спортивные;SC037;Костюмы;C04;Мужская одежда
T534;Комбинезоны;SC053;Одежда для дома;C04;Мужская одежда
T535;Спортивные;SC055;Ботинки;C07;Мужская обувь
T536;Мокасины;SC083;Мокасины;C07;Мужская обувь
T537;Слипоны;SC057;Слипоны;C07;Мужская обувь
T538;Термотрусы;SC087;Термотрусы;C05;Мужское белье
T539;Бриджи;SC025;Одежда для девочек;C02;Детская одежда
T540;Кюлоты;SC025;Одежда для девочек;C02;Детская одежда
T541;Толстовки;SC025;Одежда для девочек;C02;Детская одежда
T542;Юбки;SC025;Одежда для девочек;C02;Детская одежда
T543;Блейзеры;SC026;Одежда для мальчиков;C02;Детская одежда
T544;Фартуки детские;SC026;Одежда для мальчиков;C02;Детская одежда
T545;Футболки;SC026;Одежда для мальчиков;C02;Детская одежда
T546;Лоферы;SC063;Обувь для мальчиков;C02;Детская одежда
T547;Боди гимнастические;SC027;Спортивное для детей;C02;Детская одежда
T548;Бриджи;SC027;Спортивное для детей;C02;Детская одежда
T549;Бутсы;SC027;Спортивное для детей;C02;Детская одежда
T550;Костюмы;SC027;Спортивное для детей;C02;Детская одежда
T551;Кофты;SC027;Спортивное для детей;C02;Детская одежда
T552;Купальники гимнастические;SC027;Спортивное для детей;C02;Детская одежда
T553;Футболки-поло;SC027;Спортивное для детей;C02;Детская одежда
T554;Чешки;SC027;Спортивное для детей;C02;Детская одежда
