product,vendor code,code,group code,main provider,main manufacturer,tax,country-provider,discount,price
Диск 1/08 багги сплошной белый Anderson Racing,282100W,1149,"Колёса, шины, диски, вставки и аксессуары",Anderson Racing,Anderson Racing,20%,КИТАЙ ,6,1.85
Ключ(инструмент) 6 размеров 5.5/7/8/10/12/17,182700,1150,1-Aug,,,20%,КИТАЙ ,1,14.91
Крепление дифференциала (центрального),281003,1151,1-Aug,Anderson Racing,Anderson Racing,20%,КИТАЙ ,,10.5
Корпус дифференциала (передний/задний),281007,1152,1-Aug,Anderson Racing,Anderson Racing,20%,КИТАЙ ,,0.67
Наконечники тяг 7мм,281013,1153,1-Aug,Anderson Racing,Anderson Racing,20%,КИТАЙ ,,1.62
Дифференциал центральный ,281018,1154,1-Aug,Anderson Racing,Anderson Racing,20%,КИТАЙ ,-4,13.31
Дифференциал передний/задний,281019,1155,1-Aug,Anderson Racing,Anderson Racing,20%,КИТАЙ ,1,23.86
Прокладка дифференциала,281024,1156,1-Aug,Anderson Racing,Anderson Racing,20%,КИТАЙ ,5,1.3
Прокладка амортизатора 6x1.78mm,281028,1157,1-Aug,Anderson Racing,Anderson Racing,20%,КИТАЙ ,5,19
Корпус амортизатора,281030,1158,1-Aug,Anderson Racing,Anderson Racing,20%,КИТАЙ ,,17
Ремонтный комплект амортизатора,281031,1159,1-Aug,Anderson Racing,Anderson Racing,20%,КИТАЙ ,6,1.34
Мембрана амортизатора,281032,1160,1-Aug,Anderson Racing,Anderson Racing,20%,КИТАЙ ,,10
Пружины амортизатора,281036,1161,1-Aug,Anderson Racing,Anderson Racing,20%,КИТАЙ ,,17
Стабилизатор поперечной устойчивости,281044,1162,1-Aug,Anderson Racing,Anderson Racing,20%,КИТАЙ ,5,1.8
Стойка амортизаторов (бабочка) передняя,281046,1163,1-Aug,Anderson Racing,Anderson Racing,20%,КИТАЙ ,,1.83
Крепление двигателя (моторама),281049,1164,1-Aug,Anderson Racing,Anderson Racing,20%,КИТАЙ ,-4,13.31
Шестерня дифференциала (пиньон) 10Т,281050,1165,1-Aug,Anderson Racing,Anderson Racing,20%,КИТАЙ ,1,18.3
Держатели с-хаба большие,281055,1166,1-Aug,Anderson Racing,Anderson Racing,20%,КИТАЙ ,1,27.42
Держатели с-хаба малые,281056,1167,1-Aug,Anderson Racing,Anderson Racing,20%,КИТАЙ ,,0.96
