S_NUMBER;C_CODE;Location_DESC;Latitude;Longitude;ROAD1;ROAD2;DT;DT2;AI92;BN92;AI95;GPL;AI98
16;BY;г. Гомель, ул.8 Иногородняя, 11;52.439722;30.941944;;;1;0;1;0;1;1;0,,,,
16;BY;г. Шклов, ул. 70 лет Великой Победы, 20а;54.222278;30.282389;;;1;0;1;0;1;1;0,,,,
16;BY;д. Азино, ул. Октябрьская, 7б;55.625;28.647777;;;1;0;1;0;1;0;0,,,,
16;BY;Вилейский р-н, Долгиновский с/с, а.г. Долгиново, ул. Пролетарская, 3А;54.64748;27.468865;Р-29;;1;0;1;0;0;0;0,,
16;BY;М-6, 289км, 2;53.540333;23.695395;М-6;Р-99;1;0;1;0;1;0;0,,,,
16;BY;Брестская обл., г. Брест, ул. Мошенского, 96;52.1141;23.739;;;1;0;1;0;1;0;0,,,
16;BY;д. Муравщизна;53.914722;25.76859;Р-5;;1;0;1;0;0;0;0,,,,,,
16;BY;РБ, Минская обл., Смолевичский р-н, а/д М1/Е30 Брест (Козловичи) - Минск  - граница РФ (редьки) на 376,1 км;53.861702;27.903167;М-1;;1;0;1;0;1;0;1,,
17;BY;д.Достижение ,Глусский р-он, Могилевская обл.;52.889393;28.675158;Р-55;;1;0;1;0;1;0;0,,,,
17;BY;г.п. Лиозно, Р-21, 40 км, 1;55.034419;30.779843;Р-21;;1;0;1;0;1;1;0,,,
17;BY;Ереминский с/с., ул. Советская, 179а;52.489167;30.965556;М-5;М-8;1;1;1;0;1;1;0,,,,
17;BY;Мядельский р-н, кп Нарочь,  ул. Октябрьская, 35;54.91141;26.700411;Р-60;;1;0;1;0;1;0;0,,,
17;BY;г. Гродно ул. Ткацкая, 38;53.677777;23.763055;;;1;0;1;0;1;0;0,,,,,
17;BY;Брестская обл., г. Брест, пер. Авиационный, 20;52.1005;23.6753;;;1;0;1;0;1;0;0,,,
17;BY;г. Минск, Монтажников, 3;53.870833;27.418888;М-9;;1;0;1;0;1;1;0,,,,
17;BY;Вороновский р-он, М-11, 4-й км, 1;54.234166;25.3575;М-11;;1;0;1;0;1;0;0,,,
18;BY;Брестская обл., Каменецкий р-н, Каменюкский с/с, аг. Каменюки, ул. Пущанская, д. 2А;52.5544;23.7951;Р-83;;1;0;1;0;1;0;0,
18;BY;г. Ивье, ул. 1- Мая, 121-б;53.941985;25.756017;;;1;0;1;0;1;0;0,,,,
18;BY;г. Гомель, ул. Героев подпольщиков, 20;52.468056;30.974444;;;1;0;1;0;1;0;0,,,,
18;BY;Папернянский с/с, Р-58, 13 км, 4;54.013956;27.546909;Р-58;;1;0;1;0;1;1;0,,,
18;BY;д. Озеры;53.721389;24.195;Р-40;;1;0;1;0;1;0;0,,,,,,
18;BY;Докшицкий р-н, бегомльский с/с, 2;54.716111;28.043333;М-3;;1;0;1;0;1;1;0,,,,
18;BY;п. Колядичи ул. Бабушкина;53.827759;27.579093;;;1;0;1;0;1;1;0,,,,,,
18;BY;Осиповичский р-н., д. Теплухи, 102км а/д Минск-Гомель;53.3312;28.684116;М-5;;1;0;1;0;1;1;0,,,,
19;BY;г. Буда-Кошелево, ул. Комсомольская, 1;52.7125;30.569722;;;1;0;1;0;1;0;0,,,,
19;BY;г. Мстиславль;54.006819;31.662928;Р-73;;1;0;1;0;1;1;0,,,,,,
19;BY;Горанский с/с, М-6, 21 км, 3;53.913888;27.254444;М-6;;1;0;1;0;1;0;1,,,
19;BY;Брестская обл., Малоритский р-н, М-12, 41-й км, 1;51.891944;24.1425;М-12;Р-17;1;0;1;0;1;1;0,,
19;BY;г.п. Воропаево, ул. Гоголя, 19;55.129444;27.205;;;1;0;1;0;0;0;0,,,,
19;BY;д. Поречье;53.881944;24.131111;Р-42;;1;0;1;0;1;0;0,,,,,,
19;BY;а/д М-9 МКАД 34 км (лево);53.9034;27.406136;М-9;;1;0;1;0;1;1;0,,,,,,
19;BY;Вороновский р-он, Р-89, 18-й км, 7;54.040259;25.425087;Р-89;Р-135;1;0;1;0;1;0;0,,,
2;BY;г. Гродно ул. Мясницкая,4;53.721389;23.817222;;;1;1;1;0;1;1;0,,,,,
2;BY;59-й километр автодороги Минск-Гомель;53.546243;28.167413;М-5;;1;1;1;1;1;1;0,,,,,,
2;BY;Брестская обл., г. Брест, ул. Лейтенанта Рябцева, 134;52.1478;23.6849;Р-83;;1;0;1;0;1;0;0,,,
