Код;Кол-во;Наименование;Автор;ISBN;Вес шт.(кг);Описание;Направление;Ссылка на cайт;Цена без скидки;Акционная скидка;Скидка корпоративная;Итоговая скидка;Итоговая цена;Стоимость;;
00000012875;0;Дело о пропавшем кольце;Юлия Луговская, Люда Гаврилова, Анна Бабушкина;978-5-00100-375-5;0,21;;Детские книги;https://www.mann-ivanov-ferber.ru/books/delo-o-propavshem-kolcze/?buytab=paperbook;735,00;30%;т ты меня;50%;367,50;0,00;514,5;
00000012877;0;Книга Нового года и Рождества. Наши дни;Галина Егоренкова, Олеся Гиевская, Наталия Нестерова;978-5-00100-398-4;0,74;;Расширяющие кругозор;https://www.mann-ivanov-ferber.ru/books/kniga-novogo-goda-i-rozhdestva/?buytab=paperbook;2135,00;30%;т ты меня;50%;1067,50;0,00;1494,5;
00000012782;0;Как растут бренды;Байрон Шарп;978-5-00100-402-8;0,55;О чем не знают маркетологи;Маркетинг;https://www.mann-ivanov-ferber.ru/books/kak-rastut-brendyi/?buytab=paperbook;1015,00;30%;т ты меня;50%;507,50;0,00;710,5;
00000012914;0;Золотые правила;Боб Боуман, Чарльз Батлер;978-5-00100-457-8;0,42;Стань чемпионом в том, что ты делаешь;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/zolotyie-pravila/?buytab=paperbook;740,00;30%;т ты меня;50%;370,00;0,00;518;
00000012912;0;Лидер и племя;Дэйв Логан, Джон Кинг, Хэли Фишер-Райт;978-5-00117-135-5;0,60;5 уровней корпоративной культуры;Бизнес;https://www.mann-ivanov-ferber.ru/books/lider-i-plemya/?buytab=paperbook;920,00;30%;т ты меня;50%;460,00;0,00;644;
00000012878;0;Где Уорхол?;Кэтрин Ингрэм, Эндрю Рэй;978-5-00100-323-6;0,58;;Творчество;https://www.mann-ivanov-ferber.ru/books/gde-uorxol/?buytab=paperbook;800,00;30%;т ты меня;50%;400,00;0,00;560;
00000012779;0;О шрифте;Эрик Шпикерманн;978-5-00100-319-9;0,56;;Творчество;https://www.mann-ivanov-ferber.ru/books/o-shrifte/?buytab=paperbook;1385,00;30%;т ты меня;50%;692,50;0,00;969,5;
00000012756;0;Метаморфозы;Фредерик Клеман;978-5-00100-391-5;0,47;;Детские книги;https://www.mann-ivanov-ferber.ru/books/metamorfozyi/?buytab=paperbook;600,00;30%;т ты меня;50%;300,00;0,00;420;
00000012871;0;Глазами физика;Уолтер Левин, Уоррен Гольдштейн;978-5-00100-387-8;0,67;Путешествие от края радуги к границе времени;Научпоп;https://www.mann-ivanov-ferber.ru/books/glazami-fizika/?buytab=paperbook;1000,00;30%;т ты меня;50%;500,00;0,00;700;
00000012879;0;Новогодняя;Юля Григорьева;978-5-00100-213-0;0,34;Раскраска-плакат;Детские книги;https://www.mann-ivanov-ferber.ru/books/novogodnyaya/?buytab=paperbook;440,00;30%;т ты меня;50%;220,00;0,00;308;
00000012595;0;Планинг для творческих людей. Необыкновенные путешествия;;978-5-00100-293-2;0,48;;Творчество;https://www.mann-ivanov-ferber.ru/books/planing-dlya-tvorcheskix-lyudej-neobyiknovennyie-puteshestviya/?buytab=paperbook;800,00;30%;т ты меня;50%;400,00;0,00;560;
00000012757;0;Книга Ленивого Гуру;Лоуренс Шортер;978-5-00100-392-2;0,34;Поток. Результаты. Без усилий;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/kniga-lenivogo-guru/?buytab=paperbook;695,00;30%;т ты меня;50%;347,50;0,00;486,5;
00000012594;0;Планинг для творческих людей. Изумительные сады;;978-5-00100-292-5;0,55;;Творчество;https://www.mann-ivanov-ferber.ru/books/planing-dlya-tvorcheskix-lyudej-izumitelnyie-sadyi/?buytab=paperbook;800,00;30%;т ты меня;50%;400,00;0,00;560;
00000012870;0;Невероятные лабиринты;Гарет Мур;978-5-00100-341-0;0,53;30 уникальных и сложнейших головоломок;Творчество;https://www.mann-ivanov-ferber.ru/books/neveroyatnyie-labirintyi/?buytab=paperbook;590,00;30%;т ты меня;50%;295,00;0,00;413;
00000013276;0;Культура для каждого;Роберт Киган, Лайза Лейхи;978-5-00100-274-1;0,42;Как стать организацией осознанного развития;Бизнес;https://www.mann-ivanov-ferber.ru/books/kultura-dlya-kazhdogo/?buytab=paperbook;1015,00;30%;т ты меня;50%;507,50;0,00;710,5;
00000012759;0;Большой творческий челендж;Роза Робертс;978-5-00100-261-1;0,85;Учимся рисовать все что угодно;Творчество;https://www.mann-ivanov-ferber.ru/books/bolshoj-tvorcheskij-chelendzh/?buytab=paperbook;1600,00;30%;т ты меня;50%;800,00;0,00;1120;
00000013625;0;Любителю волшебных историй. Подарочный комплект;Ребекка Дотремер;978-5-00100-259-8;1,56;;;https://www.mann-ivanov-ferber.ru/books/lyubitelyu-volshebnyix-istorij/?buytab=paperbook;0,00;15%;т ты меня;50%;0,00;0,00;0;
00000012911;0;Управление продуктом в Scrum;Роман Пихлер;978-5-00100-354-0;0,46;Agile-методы для вашего бизнеса;Бизнес;https://www.mann-ivanov-ferber.ru/books/upravlenie-produktom-v-scrum/?buytab=paperbook;750,00;30%;т ты меня;50%;375,00;0,00;525;
00000012758;0;Как жили на Руси;Елена Качур;978-5-00100-394-6;0,49;Детские энциклопедии с Чевостиком;Детские книги;https://www.mann-ivanov-ferber.ru/books/kak-zhili-na-rusi/?buytab=paperbook;590,00;30%;т ты меня;50%;295,00;0,00;413;
00000012761;0;Я что-то забыл, и сам не помню что;Нельсон Деллис, Ксения Дерека;978-5-00100-299-4;0,34;;Детские книги;https://www.mann-ivanov-ferber.ru/books/ya-chto-to-zabyil-i-sam-ne-pomnyu-chto/?buytab=paperbook;525,00;30%;т ты меня;50%;262,50;0,00;367,5;
00000012783;0;Удивительные города. Настенный календарь — 2017;Стив Макдональд;978-5-00100-401-1;0,34;;Творчество;https://www.mann-ivanov-ferber.ru/books/paperbook/udivitelnyie-goroda-nastennyij-kalendar-2017/?buytab=paperbook;550,00;30%;т ты меня;50%;275,00;0,00;385;
00000012347;0;Почему я отвлекаюсь;Эдвард М. Хэлловэлл, Джон Рэйти;978-5-00100-249-9;0,58;Как распознать синдром дефицита внимания у взрослых и детей и что с ним делать;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/pochemu-ya-otvlekayus/?buytab=paperbook;750,00;30%;т ты меня;50%;375,00;0,00;525;
00000012760;0;Со мной хотят общаться;Нина Зверева;978-5-00100-312-0;0,34;;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/so-mnoj-xotyat-obshhatsya/?buytab=paperbook;695,00;30%;т ты меня;50%;347,50;0,00;486,5;
00000013156;0;Ночная сказка;Беатрис Корон;978-5-00100-241-3;0,36;;Детские книги;https://www.mann-ivanov-ferber.ru/books/nochnaya-skazka/?buytab=paperbook;2010,00;30%;т ты меня;50%;1005,00;0,00;1407;
00000012876;0;Дело о новогодней елке;Юлия Луговская, Анна Бабушкина;978-5-00100-376-2;0,22;;Детские книги;https://www.mann-ivanov-ferber.ru/books/delo-o-novogodnej-elke/?buytab=paperbook;735,00;30%;т ты меня;50%;367,50;0,00;514,5;
00000012872;0;Зимние истории;Сара Уэйд;978-5-00100-404-2;0,14;Стикербук;Детские книги;https://www.mann-ivanov-ferber.ru/books/zimnie-istorii/?buytab=paperbook;490,00;30%;т ты меня;50%;245,00;0,00;343;
00000012781;0;Блокнот для записей МИФа (твердая обложка);;978-5-00100-373-1;0,35;;Творчество;https://www.mann-ivanov-ferber.ru/books/bloknot-dlya-zapisej-mif-tverdyij-pereplet/?buytab=paperbook;1290,00;15%;т ты меня;50%;645,00;0,00;1096,5;
00000012776;0;Звездная, звездная ночь;Джимми Лиао;978-5-00100-355-7;0,73;;Детские книги;https://www.mann-ivanov-ferber.ru/books/zvezdnaya-zvezdnaya-noch/?buytab=paperbook;1175,00;30%;т ты меня;50%;587,50;0,00;822,5;
00000012687;0;Растительная диета;Линдси Никсон;978-5-00057-997-8;0,46;Скажи «да» своему здоровью;Здоровый образ жизни;https://www.mann-ivanov-ferber.ru/books/rastitelnaya-dieta/?buytab=paperbook;800,00;30%;т ты меня;50%;400,00;0,00;560;
00000012601;0;Делай новое!;Игорь Манн, Дмитрий Турусин, Роман Тарасенко;978-5-00100-280-2;0,28;Улучшаем бизнес с помощью маркетинга;Маркетинг;https://www.mann-ivanov-ferber.ru/books/delaj-novoe/?buytab=paperbook;740,00;30%;т ты меня;50%;370,00;0,00;518;
00000012730;0;Экономикс;Майкл Гудвин, Дэвид Бах, Джоэл Бакан;978-5-00100-380-9;0,75;Как работает экономика (и почему не работает) в словах и картинках;Комиксы;https://www.mann-ivanov-ferber.ru/books/ekonomiks/?buytab=paperbook;825,00;30%;т ты меня;50%;412,50;0,00;577,5;
00000012368;0;Статистика;Грейди Клейн, Алан Дебни;978-5-00100-260-4;0,57;Базовый курс в комиксах;Комиксы;https://www.mann-ivanov-ferber.ru/books/statistika/?buytab=paperbook;750,00;30%;т ты меня;50%;375,00;0,00;525;
00000012693;0;Животные Севера;Дитер Браун;978-5-00100-337-3;1,14;;Детские книги;https://www.mann-ivanov-ferber.ru/books/zhivotnyie-severa/?buytab=paperbook;1705,00;30%;т ты меня;50%;852,50;0,00;1193,5;
00000012777;0;Хильда и тролль;Люк Пирсон;978-5-00100-368-7;0,44;Том 1;Комиксы;https://www.mann-ivanov-ferber.ru/books/hilda-i-troll/?buytab=paperbook;610,00;30%;т ты меня;50%;305,00;0,00;427;
00000012869;0;Хильда и полуночный великан;Люк Пирсон;978-5-00100-369-4;0,42;Том 2;Комиксы;https://www.mann-ivanov-ferber.ru/books/hilda-i-polunochnyij-velikan/?buytab=paperbook;630,00;30%;т ты меня;50%;315,00;0,00;441;
00000012729;0;Год в лесу. Календарь 2017;Евгения Салихова;978-5-00100-379-3;0,44;;Детские книги;https://www.mann-ivanov-ferber.ru/books/god-v-lesu-kalendar-2017/?buytab=paperbook;550,00;30%;т ты меня;50%;275,00;0,00;385;
00000012654;0;Чем они отличаются?;Гийом Плантвен;978-5-00100-306-9;0,64;58 пар, которые легко перепутать;Детские книги;https://www.mann-ivanov-ferber.ru/books/chem-oni-otlichayutsya/?buytab=paperbook;740,00;30%;т ты меня;50%;370,00;0,00;518;
00000012725;0;Draw my life;;978-5-00100-313-7;0,29;Нарисуй свою жизнь;Творчество;https://www.mann-ivanov-ferber.ru/books/istoriya-moej-zhizni/?buytab=paperbook;480,00;30%;т ты меня;50%;240,00;0,00;336;
00000012867;0;Блокнот для записей МИФа (белый);;978-5-00100-206-2;0,09;;Творчество;https://www.mann-ivanov-ferber.ru/books/bloknot-dlya-zapisej-mifa-belyij/?buytab=paperbook;390,00;15%;т ты меня;50%;195,00;0,00;331,5;
00000012523;0;Ежедневник SelfMama;Оксана Татарина, Полина Рычалова, Катерина Назарова, Евгения Которова;978-5-00100-297-0;0,36;;Детские книги;https://www.mann-ivanov-ferber.ru/books/ezhednevnik-selfmama/?buytab=paperbook;965,00;30%;т ты меня;50%;482,50;0,00;675,5;
00000012597;0;Тренируем мозг. Тетрадь для развития памяти и интеллекта №2;Рюта Кавашима;978-5-00100-321-2;0,35;;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/treniruem-mozg-2/?buytab=paperbook;480,00;30%;т ты меня;50%;240,00;0,00;336;
00000012715;0;Уроки льва;Джон Эйджи;978-5-00100-326-7;0,36;;Детские книги;https://www.mann-ivanov-ferber.ru/books/uroki-lva/?buytab=paperbook;525,00;30%;т ты меня;50%;262,50;0,00;367,5;
00000012514;0;Kumon. Развитие мышления. Логика;;978-5-00100-277-2;0,33;;Детские книги;https://www.mann-ivanov-ferber.ru/books/kumon-razvitie-myshleniya-logika/?buytab=paperbook;420,00;30%;т ты меня;50%;210,00;0,00;294;
00000012512;0;Kumon. Развитие мышления. Пространственное мышление;;978-5-00100-275-8;0,33;;Детские книги;https://www.mann-ivanov-ferber.ru/books/kumon-razvitie-myshleniya-prostranstvennoe-myshlenie/?buytab=paperbook;420,00;30%;т ты меня;50%;210,00;0,00;294;
00000012513;0;Kumon. Развитие мышления. Сходство и различие;;978-5-00100-276-5;0,33;;Детские книги;https://www.mann-ivanov-ferber.ru/books/kumon-razvitie-myshleniya-shodstvo-i-razlichie/?buytab=paperbook;420,00;30%;т ты меня;50%;210,00;0,00;294;
00000012515;0;Kumon. Развитие мышления. Творческие способности;;978-5-00100-278-9;0,33;;Детские книги;https://www.mann-ivanov-ferber.ru/books/kumon-razvitie-myshleniya-tvorcheskie-sposobnosti/?buytab=paperbook;420,00;30%;т ты меня;50%;210,00;0,00;294;
00000012599;0;KUMON. Найди пару. Уровень 1;;978-5-00100-230-7;0,29;;Детские книги;https://www.mann-ivanov-ferber.ru/books/kumon-najdi-paru-uroven-1/?buytab=paperbook;480,00;30%;т ты меня;50%;240,00;0,00;336;
00000012600;0;KUMON. Найди пару. Уровень 2;;978-5-00100-231-4;0,29;;Детские книги;https://www.mann-ivanov-ferber.ru/books/kumon-najdi-paru-uroven-2/?buytab=paperbook;480,00;30%;т ты меня;50%;240,00;0,00;336;
00000012717;0;Привет, Землянин!;Марк тер Хорст;978-5-00100-357-1;0,44;;Детские книги;https://www.mann-ivanov-ferber.ru/book/privet-zemlyanin/?buytab=paperbook;775,00;30%;т ты меня;50%;387,50;0,00;542,5;
00000012570;0;Стратегия голубого океана;Чан Ким и Рене Моборн;978-5-00100-258-1;0,62;Как найти или создать рынок, свободный от других игроков;Бизнес;https://www.mann-ivanov-ferber.ru/books/paperbook/blueoceanstrategy/?buytab=paperbook;1080,00;30%;т ты меня;50%;540,00;0,00;756;
00000012762;0;Сделай свою книгу;Тоня Виатровски;978-5-00100-085-3;0,42;;Детские книги;https://www.mann-ivanov-ferber.ru/books/sdelaj-svoyu-knigu/?buytab=paperbook;695,00;30%;т ты меня;50%;347,50;0,00;486,5;
00000012722;0;Под давлением;Хендри Вейсингер, Дж. П. Полив-Фрай;978-5-00100-334-2;0,53;Как добиваться результатов в условиях жестких дедлайнов и неопределенности;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/pod-davleniem/?buytab=paperbook;800,00;30%;т ты меня;50%;400,00;0,00;560;
00000012691;0;LEGO-архитектура;Том Алфин;978-5-00100-307-6;0,97;;Детские книги;https://www.mann-ivanov-ferber.ru/books/lego-arhitektura/?buytab=paperbook;1935,00;30%;т ты меня;50%;967,50;0,00;1354,5;
00000011929;0;Привычка к творчеству;Твайла Тарп;978-5-00100-590-2;0,54;Сделайте творчество частью своей жизни;Творчество;https://www.mann-ivanov-ferber.ru/books/privychka-k-tvorchestvu/?buytab=paperbook;810,00;30%;т ты меня;50%;405,00;0,00;567;
00000012688;0;Ни дня без кисти;Кэрол Марин;978-5-00100-304-5;0,65;Как рисовать часто и понемногу, сохранять свежий взгляд, не бояться экспериментов, быть уверенным и свободным в творчестве;Творчество;https://www.mann-ivanov-ferber.ru/books/ni-dnya-bez-kisti/?buytab=paperbook;1280,00;30%;т ты меня;50%;640,00;0,00;896;
00000012645;0;Невозможное возможно. Лабиринты;Элизабет Голдинг;978-5-00100-300-7;0,38;75+ головоломок на время!;Детские книги;https://www.mann-ivanov-ferber.ru/books/nevozmozhnoe-vozmozhno-labirinty/?buytab=paperbook;560,00;30%;т ты меня;50%;280,00;0,00;392;
00000012646;0;Невозможное возможно. От точки к точке;Элизабет Голдинг;978-5-00100-301-4;0,38;70+ головоломок на время!;Детские книги;https://www.mann-ivanov-ferber.ru/books/nevozmozhnoe-vozmozhno-ot-tochki-k-tochke/?buytab=paperbook;450,00;30%;т ты меня;50%;225,00;0,00;315;
00000012648;0;Невозможное возможно. Головоломки;Элизабет Голдинг;978-5-00100-303-8;0,38;75+ головоломок на время!;Детские книги;https://www.mann-ivanov-ferber.ru/books/nevozmozhnoe-vozmozhno-golovolomki/?buytab=paperbook;450,00;30%;т ты меня;50%;225,00;0,00;315;
00000012647;0;Невозможное возможно. Найди отличия;Элизабет Голдинг;978-5-00100-302-1;0,38;60+ головоломок на время!;Детские книги;https://www.mann-ivanov-ferber.ru/books/nevozmozhnoe-vozmozhno-najdi-otlichiya/?buytab=paperbook;450,00;30%;т ты меня;50%;225,00;0,00;315;
00000012690;0;Прыжок в мечту, или Продажи в B2B;Михаил Воронин;978-5-00100-327-4;0,33;Как выигрывать в два раза больше корпоративных тендеров;Бизнес;https://www.mann-ivanov-ferber.ru/books/pryzhok-v-mechtu-ili-prodazhi-v-b2b/?buytab=paperbook;695,00;30%;т ты меня;50%;347,50;0,00;486,5;
00000011962;0;Мир природы;Аманда Вуд и Майк Джолли, Оуэн Дэйви;978-5-00100-137-9;0,98;Иллюстрированный сборник удивительных фактов;Детские книги;https://www.mann-ivanov-ferber.ru/books/mir-prirodyi/?buytab=paperbook;1900,00;30%;т ты меня;50%;950,00;0,00;1330;
00000012516;0;Вечно уставший;Джейкоб Тейтельбаум;978-5-00100-296-3;0,41;Как справиться с синдромом хронической усталости;Здоровый образ жизни;https://www.mann-ivanov-ferber.ru/books/vechno-ustavshij/?buytab=paperbook;705,00;30%;т ты меня;50%;352,50;0,00;493,5;
00000012650;0;Мастер историй;Пол Смит;978-5-00100-041-9;0,57;Увлекай, убеждай, вдохновляй;Бизнес;https://www.mann-ivanov-ferber.ru/books/master-istorij/?buytab=paperbook;910,00;30%;т ты меня;50%;455,00;0,00;637;
00000012363;0;Уроки лидерства;Алекс Фергюсон, Майкл Мориц;978-5-00100-026-6;0,67;Чему меня научила жизнь и 27 лет в «Манчестер Юнайтед»;Бизнес;https://www.mann-ivanov-ferber.ru/books/uroki-liderstva/?buytab=paperbook;910,00;30%;т ты меня;50%;455,00;0,00;637;
00000012564;0;Как я изучаю языки;Като Ломб;978-5-00100-693-0;0,35;Заметки полиглота;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/kak-ya-izuchayu-yazyiki/?buytab=paperbook;750,00;30%;т ты меня;50%;375,00;0,00;525;
00000012364;0;Сейчас!;Эрик Бертран Ларссен;978-5-00100-250-5;0,34;Не упусти момент — это все, что у тебя есть;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/sejchas/?buytab=paperbook;740,00;30%;т ты меня;50%;370,00;0,00;518;
00000012651;0;Фондовый рынок США для начинающих инвесторов;Игорь Клюшнев, Тамара Теплова, Дмитрий Панченко;978-5-00100-328-1;0,36;;Бизнес;https://www.mann-ivanov-ferber.ru/books/fondovyij-ryinok-ssha-dlya-nachinayushhego-investora/?buytab=paperbook;870,00;30%;т ты меня;50%;435,00;0,00;609;
00000012566;0;Философия;Пол Клейнман;978-5-00100-310-6;0,44;Краткий курс;Научпоп;https://www.mann-ivanov-ferber.ru/books/filosofiya/?buytab=paperbook;650,00;30%;т ты меня;50%;325,00;0,00;455;
00000012132;0;Тридцать миллионов слов;Бет Саскинд, Лесли Левинтер-Саскинд;978-5-00100-224-6;0,43;Развиваем мозг малыша, просто беседуя с ним;Детские книги;https://www.mann-ivanov-ferber.ru/books/tridczat-millionov-slov/?buytab=paperbook;0,00;15%;т ты меня;50%;0,00;0,00;0;
00000012476;0;Планирование;Кордула Нуссбаум;978-5-00100-506-3;0,25;Простые практики для управления временем и наведения порядка в делах;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/planirovanie-prostye-praktiki/?buytab=paperbook;590,00;30%;т ты меня;50%;295,00;0,00;413;
00000012475;0;Уверенность в себе;Ивонн Рубин;978-5-00100-677-0;0,25;Простые практики для обретения внутренней силы и твердости;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/uverennost-v-sebe-prostye-praktiki/?buytab=paperbook;590,00;30%;т ты меня;50%;295,00;0,00;413;
00000012050;0;Брось себе вызов;Грег Уайт;978-5-00100-196-6;0,35;Стань сильнее;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/bros-sebe-vyzov/?buytab=paperbook;695,00;30%;т ты меня;50%;347,50;0,00;486,5;
00000012466;0;Доведи идею до ума;Нора Хертинг, Хезер Уиллемс;978-5-00100-287-1;0,41;100 творческих упражнений для мозгового штурма, проработки и реализации проектов;Творчество;https://www.mann-ivanov-ferber.ru/books/dovedi-ideyu-do-uma/?buytab=paperbook;630,00;30%;т ты меня;50%;315,00;0,00;441;
00000011753;0;Кролик, который хочет уснуть;Карл-Йохан Форссен Эрлин;978-5-00100-511-7;0,15;Сказка в помощь родителям;Детские книги;https://www.mann-ivanov-ferber.ru/books/krolik-kotoryij-hochet-usnut/?buytab=paperbook;430,00;30%;т ты меня;50%;215,00;0,00;301;
00000012429;0;Банка с историями;Эмили Ньюбургер;978-5-00100-279-6;0,53;Играем, придумываем, рассказываем;Детские книги;https://www.mann-ivanov-ferber.ru/books/banka-s-istoriyami/?buytab=paperbook;800,00;30%;т ты меня;50%;400,00;0,00;560;
00000012306;0;Поиск источника;Джулия Кэмерон;978-5-00100-756-2;0,58;Настойчивость на пути художника;Творчество;https://www.mann-ivanov-ferber.ru/books/poisk-istochnika/?buytab=paperbook;845,00;30%;т ты меня;50%;422,50;0,00;591,5;
00000012924;0;Блокнот для записей МИФа (желтый);;978-5-00100-744-9;0,09;;Творчество;https://www.mann-ivanov-ferber.ru/books/bloknot-dlya-zapisej-mifa-zheltyij/?buytab=paperbook;390,00;15%;т ты меня;50%;195,00;0,00;331,5;
00000012409;0;KUMON. Давай вырезать! Забавные животные;;978-5-00100-526-1;0,21;;Детские книги;https://www.mann-ivanov-ferber.ru/books/kumon-davaj-vyirezat-zabavnyie-zhivotnyie/?buytab=paperbook;520,00;30%;т ты меня;50%;260,00;0,00;364;
00000009768;0;Женщины, которые изменили мир;Наталья Оленцова;978-5-00057-451-5;0,94;;Расширяющие кругозор;https://www.mann-ivanov-ferber.ru/books/zhenshhinyi-kotoryie-izmenili-mir/?buytab=paperbook;2665,00;15%;т ты меня;50%;1332,50;0,00;2265,25;
00000012414;0;Работа твоей мечты;Барбара Шер;978-5-00100-403-5;0,40;Как зарабатывать деньги, занимаясь любимым делом;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/rabota-tvoej-mechty/?buytab=paperbook;750,00;30%;т ты меня;50%;375,00;0,00;525;
00000011749;0;Смотри!;Ксавье Дэнё;978-5-00100-088-4;0,55;20 развивающих карточек для малышей;Детские книги;https://www.mann-ivanov-ferber.ru/books/smotri/?buytab=paperbook;950,00;30%;т ты меня;50%;475,00;0,00;665;
00000012411;0;Ультрамышление;Трэвис Мейси, Джон Хэнк;978-5-00100-020-4;0,40;Психология сверхнагрузок;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/ultra-koncentraciya/?buytab=paperbook;695,00;30%;т ты меня;50%;347,50;0,00;486,5;
00000012346;0;Острова;Анита Грабось;978-5-00100-242-0;0,36;Раскраска для мечтателей от 5 до 105 лет;Творчество;https://www.mann-ivanov-ferber.ru/books/ostrova/?buytab=paperbook;430,00;30%;т ты меня;50%;215,00;0,00;301;
00000012344;0;В очередь! Транспорт;Томоко Омура;978-5-00100-235-2;0,34;;Детские книги;https://www.mann-ivanov-ferber.ru/books/v-ochered-transport/?buytab=paperbook;525,00;30%;т ты меня;50%;262,50;0,00;367,5;
00000012159;0;Таинственные страницы;Иван Ефишов;978-5-00100-130-0;0,36;Занимательная криптография;Расширяющие кругозор;https://www.mann-ivanov-ferber.ru/books/tainstvennye-stranicy/?buytab=paperbook;920,00;30%;т ты меня;50%;460,00;0,00;644;
00000012049;0;Педагогическая поэма;Антон Макаренко;978-5-00100-197-3;0,83;;Расширяющие кругозор;https://www.mann-ivanov-ferber.ru/books/pedagogicheskaya-poema/?buytab=paperbook;1015,00;30%;т ты меня;50%;507,50;0,00;710,5;
00000012483;0;Как все устроено сегодня;Дэвид Маколи, Нил Ардли;978-5-00100-234-5;1,46;Обновленное издание;Детские книги;https://www.mann-ivanov-ferber.ru/books/kak-vse-ustroeno-segodnya/?buytab=paperbook;3410,00;30%;т ты меня;50%;1705,00;0,00;2387;
00000012367;0;Мамазавр;Стивен Ломп;978-5-00100-228-4;0,29;;Детские книги;https://www.mann-ivanov-ferber.ru/books/mamazavr/?buytab=paperbook;480,00;30%;т ты меня;50%;240,00;0,00;336;
00000012563;0;Дерево желаний;Кио Маклиар, Крис Тёрнхам;978-5-00100-243-7;0,36;;Детские книги;https://www.mann-ivanov-ferber.ru/books/derevo-zhelanij/?buytab=paperbook;420,00;30%;т ты меня;50%;210,00;0,00;294;
00000011865;0;От листка к лепестку;Ребекка Тусс и Патрик Фарелл;978-5-00100-105-8;0,99;75 фантастических бумажных цветов своими руками;Творчество;https://www.mann-ivanov-ferber.ru/books/ot-listka-k-lepestku/?buytab=paperbook;1600,00;30%;т ты меня;50%;800,00;0,00;1120;
00000011520;0;Однажды в сказке;Анна Лаваль;978-5-00100-089-1;0,64;;Детские книги;https://www.mann-ivanov-ferber.ru/books/odnazhdy-v-skazke/?buytab=paperbook;1675,00;30%;т ты меня;50%;837,50;0,00;1172,5;
00000011927;0;Живая природа. В горах;Каролин Пеллиссье, Эммануэль Чукриэль, Виржини Аладжиди;978-5-00100-091-4;0,37;;Детские книги;https://www.mann-ivanov-ferber.ru/books/zhivaya-priroda-v-gorax/?buytab=paperbook;695,00;30%;т ты меня;50%;347,50;0,00;486,5;
00000011993;0;Снежинка. Ракушка. Звезда;Алекс Беллос, Эдмунд Харрис;978-5-00100-121-8;0,58;Раскраска-путешествие в страну чисел;Творчество;https://www.mann-ivanov-ferber.ru/books/cnezhinka-rakushka-zvezda/?buytab=paperbook;590,00;30%;т ты меня;50%;295,00;0,00;413;
00000011926;0;Живая природа. За городом;Каролин Пеллиссье, Эммануэль Чукриэль, Виржини Аладжиди;978-5-00100-090-7;0,37;;Детские книги;https://www.mann-ivanov-ferber.ru/books/zhivaya-priroda-za-gorodom/?buytab=paperbook;695,00;30%;т ты меня;50%;347,50;0,00;486,5;
00000012348;0;Жизнь как конструктор;Айше Берсел;978-5-00100-523-0;0,56;Выдели главное, убери лишнее и создай жизнь, которая тебя вдохновляет;Творчество;https://www.mann-ivanov-ferber.ru/books/zhizn-kak-konstruktor/?buytab=paperbook;740,00;30%;т ты меня;50%;370,00;0,00;518;
00000012468;0;Творческий приступ;Яна Франк;978-5-00100-270-3;0,51;Автобиографическая драма-раскраска о счастье, вдохновении, взлетах и падениях, отчаянии и надежде (в 30 актах);Творчество;https://www.mann-ivanov-ferber.ru/books/tvorcheskij-pristup/?buytab=paperbook;480,00;30%;т ты меня;50%;240,00;0,00;336;
00000012643;0;Блокнот для записей МИФа (бирюзовый);;978-5-00100-573-5;0,09;;Творчество;https://www.mann-ivanov-ferber.ru/books/bloknot-dlya-zapisej-mifa-zelenyij/?buytab=paperbook;0,00;15%;т ты меня;50%;0,00;0,00;0;
00000012157;0;Гормоны счастья;Лоретта Грациано Бройнинг;978-5-00117-042-6;0,47;Приучите свой мозг вырабатывать серотонин, дофамин, эндорфин и окситоцин;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/gormony-schastya/?buytab=paperbook;750,00;30%;т ты меня;50%;375,00;0,00;525;
00000012305;0;Искусство. От кроманьонца до тебя;Стефани Ледю, Тибо Рассат, Стефан Фраттини;978-5-00100-245-1;0,52;Мои первые энциклопедии DOCS;Детские книги;https://www.mann-ivanov-ferber.ru/books/iskusstvo-ot-kromanoncza-do-tebya/?buytab=paperbook;630,00;30%;т ты меня;50%;315,00;0,00;441;
00000012304;0;Транспорт. От телеги до ракеты;Стефани Ледю, Стефан Фраттини, Тибо Рассат;978-5-00100-244-4;0,52;Мои первые энциклопедии DOCS;Детские книги;https://www.mann-ivanov-ferber.ru/books/transport-ot-telegi-do-rakety/?buytab=paperbook;590,00;30%;т ты меня;50%;295,00;0,00;413;
